CnBio_Org_Name,Number and Street,CnAdrPrf_Addrline2,CnAdrPrf_City,CnAdrPrf_State,Postcode,Block-Lot,Primary,Secondary,Borough,Latitude,Longitude,Community Board,Council District,Census Tract,BIN,BBL,NTA
LensCrafters Optique,60 Broad Street,,New York,NY,10004,24-1,Personal and Professional Services,S-Glasses & Sunglasses,MANHATTAN,40.705351,-74.011502,1,1,9,1000817,1000240001,Battery Park City-Lower Manhattan                                          
Blue Chip Unisex Salon,44 New Street,,New York,NY,10004,24-19,Personal and Professional Services,P-Hair Salon & Barber Shop,MANHATTAN,40.705895,-74.012184,1,1,9,1000818,1000240019,Battery Park City-Lower Manhattan                                          
Mohan Jewelers,44 New Street,,New York,NY,,24-19,Shopping,S-Jeweler,,,,,,,,,
Champs Gourmet Deli,30 Broad Street,,New York,NY,10004,24-29,Casual Eating & Takeout,F-Deli,MANHATTAN,40.70618,-74.01125,1,1,9,1000819,1000240029,Battery Park City-Lower Manhattan                                          
Dijon,30 New Street,,New York,NY,10004,24-29,Shopping,S-Apparel: Women's,MANHATTAN,40.706314,-74.011978,1,1,9,1000819,1000240029,Battery Park City-Lower Manhattan                                          
Subway,30 New Street,,New York,NY,10004,24-29,Casual Eating & Takeout,F-Fast Food,MANHATTAN,40.706314,-74.011978,1,1,9,1000819,1000240029,Battery Park City-Lower Manhattan                                          
Roman Shoe Repair & Shine,30 New Street,Ground Level,New York,NY,10004,24-29,Personal and Professional Services,P-Shoe Repair/Shine,MANHATTAN,40.706314,-74.011978,1,1,9,1000819,1000240029,Battery Park City-Lower Manhattan                                          
SHO Shaun Hergatt at The Setai,40 Broad Street,,New York,NY,10012,24-32,Full Service Dining,F-Euro Asian,MANHATTAN,40.706021,-74.011332,1,1,9,1078985,1000247501,Battery Park City-Lower Manhattan                                          
Liberty Travel,50 Broad Street,,New York,NY,10004,24-36,Personal and Professional Services,P-Travel Agency,MANHATTAN,40.705689,-74.011455,1,1,9,1000820,1000240036,Battery Park City-Lower Manhattan                                          
New York Lottery,15 Beaver Street,,New York,NY,10004,24-38,Personal and Professional Services,P-Gaming,MANHATTAN,40.705002,-74.012468,1,1,9,1000817,1000240001,Battery Park City-Lower Manhattan                                          
Gary Vending,25 Beaver Street,Lobby,New York,NY,10004,24-38,Personal and Professional Services,P-Newsstands,MANHATTAN,40.704983,-74.012046,1,1,9,1000817,1000240001,Battery Park City-Lower Manhattan                                          
Broad Street Jewelers,29 Beaver Street,,New York,NY,10004,24-38,Shopping,S-Jeweler,MANHATTAN,40.704975,-74.011881,1,1,9,1000817,1000240001,Battery Park City-Lower Manhattan                                          
The Setai Spa,40 Broad Street,Floor 3,New York,NY,10004,24-7501,Personal and Professional Services,P-Spa,MANHATTAN,40.706021,-74.011332,1,1,9,1078985,1000247501,Battery Park City-Lower Manhattan                                          
Cosi Sandwich Bar,55 Broad Street,,New York,NY,10004,25-1,Casual Eating & Takeout,F-Cafe & Eatery,MANHATTAN,40.705189,-74.011505,1,1,9,1000821,1000250001,Battery Park City-Lower Manhattan                                          
Starbucks Coffee,55 Broad Street,,New York,NY,10004,25-1,Casual Eating & Takeout,F-Coffeehouse,MANHATTAN,40.705189,-74.011505,1,1,9,1000821,1000250001,Battery Park City-Lower Manhattan                                          
Bobby Van's Steakhouse,25 Broad Street,,New York,NY,10004,25-19,Full Service Dining,F-Steak,MANHATTAN,40.706114,-74.01126,1,1,9,1000824,1000250019,Battery Park City-Lower Manhattan                                          
Exchange Cleaners,25 Broad Street,,New York,NY,10004,25-19,Personal and Professional Services,P-Dry Cleaning,MANHATTAN,40.706114,-74.01126,1,1,9,1000824,1000250019,Battery Park City-Lower Manhattan                                          
Canali,25 Broad Street,,New York,NY,10005,25-19,Shopping,S-Apparel: Men's,MANHATTAN,40.706114,-74.01126,1,1,9,1000824,1000250019,Battery Park City-Lower Manhattan                                          
Bobby Van's Grill,25 Broad Street,,New York,NY,10004,25-19,Full Service Dining,F-Steak,MANHATTAN,40.706114,-74.01126,1,1,9,1000824,1000250019,Battery Park City-Lower Manhattan                                          
De Janeiro,27 William Street,,New York,NY,10005,25-27,Shopping,S-Apparel: Women's,MANHATTAN,40.705565,-74.00994,1,1,9,1000825,1000250027,Battery Park City-Lower Manhattan                                          
Blimpie,40 Exchange Place,,New York,NY,10005,25-27,Casual Eating & Takeout,F-Fast Food,MANHATTAN,40.705939,-74.010283,1,1,9,1000825,1000250027,Battery Park City-Lower Manhattan                                          
All Brands Office Equipment Inc.,40 Exchange Place,4th Floor,New York,NY,10005,25-27,Shopping,S-Office Supplies & Equipment,MANHATTAN,40.705939,-74.010283,1,1,9,1000825,1000250027,Battery Park City-Lower Manhattan                                          
"Sam Swick Leather Goods, Inc.",40 Exchange Place,Suite 1709,New York,NY,10005,25-27,Shopping,S-Leather & Luggage,MANHATTAN,40.705939,-74.010283,1,1,9,1000825,1000250027,Battery Park City-Lower Manhattan                                          
Minas Shoe Repair Inc.,40 Exchange Place,,New York,NY,10006,25-27,Personal and Professional Services,P-Shoe Repair/Shine,MANHATTAN,40.705939,-74.010283,1,1,9,1000825,1000250027,Battery Park City-Lower Manhattan                                          
The Irish Punt,40 Exchange Place,,New York,NY,10005,25-27,Full Service Dining,F-Irish Pub,MANHATTAN,40.705939,-74.010283,1,1,9,1000825,1000250027,Battery Park City-Lower Manhattan                                          
Cafe Doppio,55 Broad Street,,New York,NY,10004,25-32,Casual Eating & Takeout,F-Cafe & Eatery,MANHATTAN,40.705189,-74.011505,1,1,9,1000821,1000250001,Battery Park City-Lower Manhattan                                          
Hale and Hearty Soup,55 Broad Street,,New York,NY,10004,25-32,Casual Eating & Takeout,F-Soup,MANHATTAN,40.705189,-74.011505,1,1,9,1000821,1000250001,Battery Park City-Lower Manhattan                                          
Chase Bank,45 Wall Street,,New York,NY,10286,26-1,Personal and Professional Services,P-Banks and Check Cashing,MANHATTAN,40.706595,-74.009861,1,1,7,1000826,1000260021,Battery Park City-Lower Manhattan                                          
Black Label,43 Exchange Place,,New York,NY,10005,26-14,Personal and Professional Services,P-Spa,MANHATTAN,40.706015,-74.010445,1,1,7,1078991,1000260014,Battery Park City-Lower Manhattan                                          
Tiffany & Co.,37 Wall Street,,New York,NY,10005,26-14,Shopping,S-Jeweler,MANHATTAN,40.70674,-74.010095,1,1,7,1078992,1000260014,Battery Park City-Lower Manhattan                                          
